file_id,file_name,file_type,source,file_path,size_kb,created_at
68,25749150.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/25749150.pdf,48.1,2026-06-13 20:08:09
69,25846894.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/25846894.pdf,23.45,2026-06-13 20:08:09
70,25862026.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/25862026.pdf,19.83,2026-06-13 20:08:09
71,25867805.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/25867805.pdf,32.56,2026-06-13 20:08:09
72,25935030.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/25935030.pdf,32.82,2026-06-13 20:08:09
73,26065877.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/26065877.pdf,20.99,2026-06-13 20:08:09
74,26975573.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/26975573.pdf,26.08,2026-06-13 20:08:09
75,27558837.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/27558837.pdf,20.33,2026-06-13 20:08:09
76,27573855.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/27573855.pdf,24.6,2026-06-13 20:08:09
77,27637576.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/27637576.pdf,25.2,2026-06-13 20:08:09
78,27980446.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/27980446.pdf,21.79,2026-06-13 20:08:09
79,28298773.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/28298773.pdf,22.36,2026-06-13 20:08:09
80,28359817.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/28359817.pdf,22.79,2026-06-13 20:08:09
81,28614791.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/28614791.pdf,35.99,2026-06-13 20:08:09
82,28939941.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/28939941.pdf,22.81,2026-06-13 20:08:09
83,28969385.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/28969385.pdf,21.98,2026-06-13 20:08:09
84,29050809.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/29050809.pdf,28.65,2026-06-13 20:08:09
85,29456173.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/29456173.pdf,21.05,2026-06-13 20:08:09
86,29821051.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/29821051.pdf,28.63,2026-06-13 20:08:09
87,29999135.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/29999135.pdf,27.15,2026-06-13 20:08:09
